Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
222831,317.0,20.5,10.0,41,698,627,18.1,3.8,17.3,8,3290,64,370,2,0,5,0,50,63
24615,389.0,25.1,11.0,64,1047,220,20.2,1.2,19.8,2,378,14,411,2,0,6,0,19,11
233527,727.0,56.2,14.0,51,1370,483,38.5,3,19.4,3,5258,27,523,4,0,8,0,76,177
254280,388.0,4.4,1.0,0,528,138,75.2,3,10.5,3,36,1,21,5,1,8,0,24,213
58480,207.0,15.4,6.0,44,698,133,6.4,0.6,11.6,4,244,3,224,1,0,3,0,13,6
230760,386.0,15.1,7.0,50,1547,123,39.1,1.4,25.3,2,283,0,252,0,0,5,0,15,12
22172,684.0,41.1,20.0,114,1294,734,42.5,9.2,35.6,3,816,12,568,5,0,12,0,83,91
228983,414.0,27.2,10.0,37,811,245,27,5.6,19.2,1,1438,8,513,2,0,2,0,36,34
185197,536.0,21,9.0,54,1311,165,54.8,3,34.9,3,316,5,447,1,0,6,0,22,7
245547,431.0,33.9,16.0,356,948,392,6.5,0.8,25.4,3,1048,11,283,2,0,7,0,32,46
76345,472.0,22.6,5.0,323,691,218,48.2,3.9,18.3,3,696,2,86,4,0,6,0,39,139
14301,608.0,38.6,6.0,10,1872,173,63.8,3.5,8.4,4,496,42,55,3,0,4,0,12,124
14257,204.0,10.4,1.0,0.5,656,243,23.6,2.7,4.4,3,220,28,40,2,0,3,0,24,82
93100,95.0,3.8,1.0,0,5,533,15.5,7.8,2.4,8,77,5,25,1,0,2,0,33,51
87596,438.0,21.5,6.0,18,272,402,48.3,4.1,14.8,4,2203,66,207,3,0,5,0,49,146
11711,338.0,16.3,4.0,10,809,242,41,4.2,9.8,5,3589,7,102,2,0,4,0,38,95
14398,498.0,40.3,17.0,78,154,355,12.7,2,19.3,10,1872,18,596,1,0,1,0,18,25
229358,115.0,8.1,1.0,0,1790,296,11.1,1.8,1.4,6,272,29,34,16,0,1,0,42,19
240461,451.0,21.8,9.0,39,314,300,47.6,3.7,17.3,3,1041,17,326,3,0,4,0,38,124
170382,370.0,14.4,7.0,35,69,224,42.5,3.2,16,3,1284,9,278,2,0,4,0,32,103
273535,318.0,26.9,5.0,9,1174,174,15.7,1.3,5.2,5,399,13,134,1,0,1,0,14,24
246655,192.0,12.9,2.0,3,1109,1174,16.7,10.8,6.3,2,8965,37,222,4,0,2,0,63,486
232478,373.0,23.5,5.0,21,626,164,30.8,2.1,10.7,1,354,6,61,2,0,4,0,26,79
160473,82.0,7.1,1.0,0,10,169,3.9,1.1,1.8,1,655,9,48,3,0,0,0,14,24
232727,262.0,24.7,2.0,0,609,284,10.7,4,2.1,5,147,59,64,1,0,1,0,20,67
