Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
264227,581.0,20.4,3.0,97,879,1364,63.5,10.7,44.5,8,2197,34,74,4,0,28,1,139,114
8812,990.0,73.1,17.0,339,369,1155,24.5,4.9,61.3,5,982,51,80,4,0,32,1,101,61
77253,388.0,12.1,3.0,40,637,709,49.4,4.5,21.6,6,268,23,122,4,1,11,1,56,128
183179,414.0,26.9,8.0,38,1514,544,31.6,5.3,13.7,6,546,17,165,3,0,5,0,60,20
261635,286.0,13.8,7.0,68,59,141,37.5,2.3,4.6,21,405,0,101,1,0,2,0,35,33
24342,447.0,33.9,9.0,213,558,580,22.1,2.1,14.3,3,694,44,38,2,0,6,1,36,38
216067,470.0,18.2,9.0,40,1003,596,59.2,5.8,17.5,7,13934,3,405,3,0,7,0,57,94
240459,569.0,39.9,18.0,228,1327,613,13,2.5,39.7,4,1108,26,56,4,0,13,1,48,39
276098,591.0,38,9.0,49,1361,655,48.6,6.3,18.2,6,1586,33,176,4,0,6,0,52,127
19945,566.0,40.1,14.0,218,126,535,15.9,2.7,34.2,2,974,15,44,5,0,11,0,53,29
237920,573.0,24.9,13.0,61,1148,612,60.2,8.4,26.7,3,1077,29,415,5,1,10,0,71,172
263794,301.0,15.3,3.0,19,789,436,29.2,5.7,14.3,5,485,16,62,2,0,6,0,57,35
86422,485.0,21.9,8.0,402,615,969,48.2,4.9,24.9,4,626,22,112,3,0,10,1,77,69
145442,430.0,24,12.0,79,759,544,31.8,4.4,22.4,4,845,6,249,2,0,8,0,66,29
278725,244.0,9,2.0,59,659,375,15.7,1.7,24,3,241,4,42,2,0,12,0,42,20
263121,143.0,4.9,1.0,31,55,442,16,4,10.3,1,664,8,42,1,0,5,0,44,34
221881,399.0,33.3,10.0,77,81,261,3.1,0.6,21.2,1,462,7,29,3,0,6,0,20,7
228267,413.0,14.2,2.0,36,738,999,42.4,5.6,29.7,10,1711,29,98,3,0,15,1,132,130
216433,664.0,37.8,15.0,97,628,582,51.5,7.6,31.1,3,543,9,314,3,0,12,1,105,29
278719,170.0,3,1.0,43,1290,328,17.5,3.2,18.3,3,1090,9,61,3,0,11,0,42,11
233023,519.0,25.1,9.0,77,1272,270,43.5,6.3,26.5,2,322,1,60,3,0,8,0,18,13
269262,322.0,10.9,3.0,68,709,307,33.6,4.8,23.3,1,141,5,78,2,0,9,0,70,11
231251,534.0,29.7,16.0,95,1160,450,38.4,1.8,28.6,9,924,5,348,3,0,9,0,33,67
73708,321.0,21.4,11.0,71,503,259,12.2,1.3,19.6,1,704,3,275,2,0,6,0,34,28
263122,322.0,9,3.0,35,833,591,34.6,3.8,21.2,2,1043,18,80,3,0,6,0,48,88
233900,167.0,5.9,1.0,20,281,354,16.1,1.3,11.7,2,335,15,76,1,0,3,0,32,26
237007,465.0,15,5.0,49,3659,642,69.7,3.8,33.2,19,4905,11,75,3,0,9,1,75,39
25488,70.0,0.8,0.0,34,39,174,1.1,0.3,13.8,1,57,7,9,0,0,9,0,18,5
36470,602.0,35.6,18.0,76,1363,567,47.9,7.8,24.2,3,1251,11,566,4,0,8,0,65,115
53604,273.0,5.1,1.0,36,286,821,29.9,4.7,27.7,3,1011,24,119,2,0,13,1,146,37
278965,313.0,10.4,4.0,36,531,709,36.2,4.4,20,5,1551,63,101,3,0,7,1,53,85
231814,589.0,31.5,8.0,56,1591,634,47.8,3.8,27,4,623,18,138,3,0,8,1,51,107
274968,275.0,6.5,2.0,56,770,656,33.4,7.7,22.3,5,1869,17,70,4,0,8,0,54,101
238378,526.0,18,4.0,47,293,1167,62.3,13.7,33.2,8,565,30,159,3,0,9,1,132,110
235349,199.0,13,2.0,0,392,273,11.4,0.7,10.9,2,245,2,78,2,0,3,0,49,18
75377,279.0,13.6,5.0,37,811,415,22.8,4.5,16.3,2,715,20,144,3,0,7,0,54,33
244309,1192.0,77,40.0,217,1810,573,63,4.1,61,3,1297,3,593,6,1,11,0,69,162
76017,247.0,5.7,2.0,9,385,483,41.5,6.7,9.5,3,568,10,155,2,0,3,0,72,39
202885,662.0,30.8,15.0,58,1135,812,73.9,6.9,24.2,10,1884,42,470,5,1,10,1,79,190
263121,143.0,4.9,1.0,31,55,442,16,4,10.3,1,664,8,42,1,0,5,0,44,34
221881,399.0,33.3,10.0,77,81,261,3.1,0.6,21.2,1,462,7,29,3,0,6,0,20,7
278587,349.0,19.4,8.0,114,699,494,19.4,2.8,27.9,2,797,8,226,2,0,14,1,63,24
269613,657.0,45.5,21.0,99,975,341,38.2,2.4,26.4,4,702,7,91,2,0,6,0,21,19
237225,527.0,37.7,16.0,78,1125,1217,40.2,8.2,24.2,3,1122,23,176,4,0,8,0,56,70
